City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bogale,16.2833,95.4,78.78,84,99,9.55,MM,2023-06-07 12:44:25
1,jiwani,25.05,61.7417,91.45,56,5,11.45,PK,2023-06-07 12:44:26
2,port elizabeth,-33.918,25.5701,59.31,85,0,17.27,ZA,2023-06-07 12:44:26
3,wailua homesteads,22.0669,-159.378,75.99,89,40,8.05,US,2023-06-07 12:40:18
4,barra,-11.0894,-43.1417,88.3,35,18,3.94,BR,2023-06-07 12:44:26
5,jaleshwar,26.6471,85.8008,93.33,22,9,4.61,NP,2023-06-07 12:44:27
6,tiksi,71.6872,128.8694,34.79,89,73,3.94,RU,2023-06-07 12:44:27
7,blackmans bay,-43.0167,147.3167,56.7,87,100,7.18,AU,2023-06-07 12:44:27
8,lubang,13.8584,120.124,83.64,76,100,5.95,PH,2023-06-07 12:44:28
9,port-aux-francais,-49.35,70.2167,36.99,90,100,25.43,TF,2023-06-07 12:44:28
10,panitian,9.0965,118.0864,79.05,85,94,2.53,PH,2023-06-07 12:44:28
11,egilsstadir,65.2653,-14.3948,55.31,54,0,20.71,IS,2023-06-07 12:44:29
12,butte,39.6499,-121.5677,69.39,64,100,9.22,US,2023-06-07 12:44:29
13,college,64.8569,-147.8028,65.08,55,75,4.61,US,2023-06-07 12:40:35
14,benghazi,32.1167,20.0667,73.44,72,61,19.57,LY,2023-06-07 12:42:37
15,iskateley,67.6803,53.1512,39.56,60,100,10.4,RU,2023-06-07 12:44:30
16,kodiak,57.79,-152.4072,45.91,93,100,3.44,US,2023-06-07 12:40:50
17,puerto ayora,-0.7393,-90.3518,85.96,90,92,8.01,EC,2023-06-07 12:44:30
18,margaret river,-33.95,115.0667,60.06,80,99,16.08,AU,2023-06-07 12:44:31
19,bethel,41.3712,-73.414,68.54,43,100,9.22,US,2023-06-07 12:44:31
20,olonkinbyen,70.9221,-8.7187,33.39,86,99,6.08,SJ,2023-06-07 12:40:19
21,goure,13.9835,10.2704,85.32,37,100,5.79,NE,2023-06-07 12:44:31
22,bad lobenstein,50.4493,11.6381,68.23,89,20,6.64,DE,2023-06-07 12:44:32
23,isafjordur,66.0755,-23.124,46.44,61,75,9.22,IS,2023-06-07 12:44:32
24,korla,41.7597,86.1469,83.64,19,87,7.14,CN,2023-06-07 12:44:32
25,sandnessjoen,66.0217,12.6316,45.12,93,75,9.22,NO,2023-06-07 12:44:33
26,santa rosa,14.3122,121.1114,82.38,95,99,1.74,PH,2023-06-07 12:44:33
